unique_checkpoint,year,month,day,weekday,hour,vehicles
b-109,2019,1,2,4,7,25
c-68,2019,1,2,4,7,24
b-26,2019,1,2,4,8,476
c-95,2019,1,2,4,8,325
b-109,2019,1,2,4,8,65
c-68,2019,1,2,4,8,23
b-26,2019,1,2,4,9,1000
c-95,2019,1,2,4,9,501
b-109,2019,1,2,4,9,111
c-68,2019,1,2,4,9,38
b-26,2019,1,2,4,10,2539
c-95,2019,1,2,4,10,656
b-109,2019,1,2,4,10,185
c-68,2019,1,2,4,10,81
b-26,2019,1,2,4,11,2216
c-95,2019,1,2,4,11,826
b-109,2019,1,2,4,11,471
c-68,2019,1,2,4,11,54
b-26,2019,1,2,4,12,3557
c-95,2019,1,2,4,12,749
b-109,2019,1,2,4,12,160
c-68,2019,1,2,4,12,59
b-26,2019,1,2,4,13,1368
c-95,2019,1,2,4,13,572
b-109,2019,1,2,4,13,345
c-68,2019,1,2,4,13,31
b-26,2019,1,2,4,14,1773
c-95,2019,1,2,4,14,257
b-109,2019,1,2,4,14,50
c-68,2019,1,2,4,14,70
b-26,2019,1,2,4,15,1629
c-95,2019,1,2,4,15,636
b-109,2019,1,2,4,15,298
c-68,2019,1,2,4,15,56
b-26,2019,1,2,4,16,2174
c-95,2019,1,2,4,16,506
b-109,2019,1,2,4,16,235
c-68,2019,1,2,4,16,67
b-26,2019,1,2,4,17,1750
c-95,2019,1,2,4,17,759
b-109,2019,1,2,4,17,183
c-68,2019,1,2,4,17,78
b-26,2019,1,2,4,18,2497
c-95,2019,1,2,4,18,903
b-109,2019,1,2,4,18,207
c-68,2019,1,2,4,18,13
b-26,2019,1,2,4,19,2528
c-95,2019,1,2,4,19,721
b-109,2019,1,2,4,19,261
c-68,2019,1,2,4,19,67
b-26,2019,1,2,4,20,1136
c-95,2019,1,2,4,20,217
b-109,2019,1,2,4,20,128
c-68,2019,1,2,4,20,41
b-26,2019,1,2,4,21,1140
c-95,2019,1,2,4,21,260
b-109,2019,1,2,4,21,244
c-68,2019,1,2,4,21,22
b-26,2019,1,2,4,22,1093
c-95,2019,1,2,4,22,446
b-109,2019,1,2,4,22,183
c-68,2019,1,2,4,22,10
b-26,2019,1,2,4,23,390
c-95,2019,1,2,4,23,199
b-109,2019,1,2,4,23,70
c-68,2019,1,2,4,23,14
b-26,2019,1,3,5,0,285
c-95,2019,1,3,5,0,113
b-109,2019,1,3,5,0,39
c-68,2019,1,3,5,0,29
b-26,2019,1,3,5,1,118
c-95,2019,1,3,5,1,87
b-109,2019,1,3,5,1,14
c-68,2019,1,3,5,1,13
b-26,2019,1,3,5,2,104
c-95,2019,1,3,5,2,30
b-109,2019,1,3,5,2,10
c-68,2019,1,3,5,2,16
b-26,2019,1,3,5,3,105
c-95,2019,1,3,5,3,56
b-109,2019,1,3,5,3,11
c-68,2019,1,3,5,3,8
b-26,2019,1,3,5,4,53
c-95,2019,1,3,5,4,39
b-109,2019,1,3,5,4,6
c-68,2019,1,3,5,4,13
b-26,2019,1,3,5,5,50
c-95,2019,1,3,5,5,91
b-109,2019,1,3,5,5,12
c-68,2019,1,3,5,5,10
b-26,2019,1,3,5,6,332
c-95,2019,1,3,5,6,89
b-109,2019,1,3,5,6,37
c-68,2019,1,3,5,6,13
b-26,2019,1,3,5,7,748
c-95,2019,1,3,5,7,329
b-109,2019,1,3,5,7,45
c-68,2019,1,3,5,7,20
b-26,2019,1,3,5,8,857
c-95,2019,1,3,5,8,401
b-109,2019,1,3,5,8,86
c-68,2019,1,3,5,8,33
b-26,2019,1,3,5,9,767
c-95,2019,1,3,5,9,434
b-109,2019,1,3,5,9,119
c-68,2019,1,3,5,9,36
b-26,2019,1,3,5,10,2032
c-95,2019,1,3,5,10,677
b-109,2019,1,3,5,10,180
c-68,2019,1,3,5,10,123
b-26,2019,1,3,5,11,3392
c-95,2019,1,3,5,11,654
b-109,2019,1,3,5,11,505
c-68,2019,1,3,5,11,55
b-26,2019,1,3,5,12,1637
c-95,2019,1,3,5,12,1406
b-109,2019,1,3,5,12,210
c-68,2019,1,3,5,12,40
b-26,2019,1,3,5,13,1647
c-95,2019,1,3,5,13,672
b-109,2019,1,3,5,13,281
c-68,2019,1,3,5,13,68
b-26,2019,1,3,5,14,2278
c-95,2019,1,3,5,14,751
b-109,2019,1,3,5,14,78
c-68,2019,1,3,5,14,86
b-26,2019,1,3,5,15,2724
c-95,2019,1,3,5,15,550
b-109,2019,1,3,5,15,298
c-68,2019,1,3,5,15,70
b-26,2019,1,3,5,16,3239
c-95,2019,1,3,5,16,504
b-109,2019,1,3,5,16,220
c-68,2019,1,3,5,16,66
b-26,2019,1,3,5,17,3184
c-95,2019,1,3,5,17,886
b-109,2019,1,3,5,17,208
c-68,2019,1,3,5,17,80
b-26,2019,1,3,5,18,2253
c-95,2019,1,3,5,18,681
b-109,2019,1,3,5,18,201
c-68,2019,1,3,5,18,11
b-26,2019,1,3,5,19,2634
c-95,2019,1,3,5,19,350
b-109,2019,1,3,5,19,301
c-68,2019,1,3,5,19,91
b-26,2019,1,3,5,20,1001
c-95,2019,1,3,5,20,390
b-109,2019,1,3,5,20,203
c-68,2019,1,3,5,20,57
b-26,2019,1,3,5,21,1416
c-95,2019,1,3,5,21,531
b-109,2019,1,3,5,21,208
c-68,2019,1,3,5,21,38
b-26,2019,1,3,5,22,1681
c-95,2019,1,3,5,22,415
b-109,2019,1,3,5,22,233
c-68,2019,1,3,5,22,35
b-26,2019,1,3,5,23,394
c-95,2019,1,3,5,23,274
b-109,2019,1,3,5,23,66
c-68,2019,1,3,5,23,21
b-26,2019,1,4,6,0,113
c-95,2019,1,4,6,0,59
b-109,2019,1,4,6,0,4
c-68,2019,1,4,6,0,10
b-26,2019,1,4,6,1,59
c-95,2019,1,4,6,1,19
b-109,2019,1,4,6,1,3
c-68,2019,1,4,6,1,4
b-26,2019,1,4,6,2,40
c-95,2019,1,4,6,2,48
b-109,2019,1,4,6,2,4
c-68,2019,1,4,6,2,7
b-26,2019,1,4,6,3,27
c-95,2019,1,4,6,3,11
b-109,2019,1,4,6,3,3
c-68,2019,1,4,6,3,2
b-26,2019,1,4,6,4,31
c-95,2019,1,4,6,4,22
b-109,2019,1,4,6,4,4
c-68,2019,1,4,6,4,4
b-26,2019,1,4,6,5,33
c-95,2019,1,4,6,5,25
b-109,2019,1,4,6,5,4
c-68,2019,1,4,6,5,4
b-26,2019,1,4,6,6,56
c-95,2019,1,4,6,6,45
b-109,2019,1,4,6,6,11
c-68,2019,1,4,6,6,4
b-26,2019,1,4,6,7,154
c-95,2019,1,4,6,7,127
b-109,2019,1,4,6,7,9
c-68,2019,1,4,6,7,8
b-26,2019,1,4,6,8,297
c-95,2019,1,4,6,8,185
b-109,2019,1,4,6,8,11
c-68,2019,1,4,6,8,13
b-26,2019,1,4,6,9,533
c-95,2019,1,4,6,9,72
b-109,2019,1,4,6,9,49
c-68,2019,1,4,6,9,17
b-26,2019,1,4,6,10,986
c-95,2019,1,4,6,10,62
b-109,2019,1,4,6,10,27
c-68,2019,1,4,6,10,41
b-26,2019,1,4,6,11,1446
c-95,2019,1,4,6,11,239
b-109,2019,1,4,6,11,61
c-68,2019,1,4,6,11,24
b-26,2019,1,4,6,12,1730
c-95,2019,1,4,6,12,410
b-109,2019,1,4,6,12,96
c-68,2019,1,4,6,12,35
b-26,2019,1,4,6,13,780
c-95,2019,1,4,6,13,139
b-109,2019,1,4,6,13,89
c-68,2019,1,4,6,13,27
b-26,2019,1,4,6,14,590
c-95,2019,1,4,6,14,217
b-109,2019,1,4,6,14,27
c-68,2019,1,4,6,14,20
b-26,2019,1,4,6,15,548
c-95,2019,1,4,6,15,252
b-109,2019,1,4,6,15,38
c-68,2019,1,4,6,15,27
b-26,2019,1,4,6,16,716
c-95,2019,1,4,6,16,355
b-109,2019,1,4,6,16,108
c-68,2019,1,4,6,16,34
b-26,2019,1,4,6,17,1104
c-95,2019,1,4,6,17,226
b-109,2019,1,4,6,17,57
c-68,2019,1,4,6,17,39
b-26,2019,1,4,6,18,912
c-95,2019,1,4,6,18,214
b-109,2019,1,4,6,18,95
c-68,2019,1,4,6,18,7
b-26,2019,1,4,6,19,1335
c-95,2019,1,4,6,19,262
b-109,2019,1,4,6,19,116
c-68,2019,1,4,6,19,19
b-26,2019,1,4,6,20,282
c-95,2019,1,4,6,20,123
b-109,2019,1,4,6,20,80
c-68,2019,1,4,6,20,27
b-26,2019,1,4,6,21,355
c-95,2019,1,4,6,21,107
b-109,2019,1,4,6,21,61
c-68,2019,1,4,6,21,7
b-26,2019,1,4,6,22,519
c-95,2019,1,4,6,22,101
b-109,2019,1,4,6,22,42
c-68,2019,1,4,6,22,9
b-26,2019,1,4,6,23,213
c-95,2019,1,4,6,23,77
b-109,2019,1,4,6,23,27
c-68,2019,1,4,6,23,10
b-26,2019,1,5,7,0,47
c-95,2019,1,5,7,0,29
b-109,2019,1,5,7,0,11
c-68,2019,1,5,7,0,1
b-26,2019,1,5,7,1,57
c-95,2019,1,5,7,1,18
b-109,2019,1,5,7,1,3
c-68,2019,1,5,7,1,1
b-26,2019,1,5,7,2,21
c-95,2019,1,5,7,2,18
b-109,2019,1,5,7,2,0
c-68,2019,1,5,7,2,3
b-26,2019,1,5,7,3,16
c-95,2019,1,5,7,3,9
b-109,2019,1,5,7,3,5
c-68,2019,1,5,7,3,3
b-26,2019,1,5,7,4,8
c-95,2019,1,5,7,4,3
b-109,2019,1,5,7,4,2
c-68,2019,1,5,7,4,4
b-26,2019,1,5,7,5,9
c-95,2019,1,5,7,5,15
b-109,2019,1,5,7,5,2
c-68,2019,1,5,7,5,2
b-26,2019,1,5,7,6,51
c-95,2019,1,5,7,6,23
b-109,2019,1,5,7,6,6
c-68,2019,1,5,7,6,4
b-26,2019,1,5,7,7,88
c-95,2019,1,5,7,7,56
b-109,2019,1,5,7,7,9
c-68,2019,1,5,7,7,4
b-26,2019,1,5,7,8,205
c-95,2019,1,5,7,8,87
b-109,2019,1,5,7,8,11
c-68,2019,1,5,7,8,9
b-26,2019,1,5,7,9,259
c-95,2019,1,5,7,9,65
b-109,2019,1,5,7,9,20
c-68,2019,1,5,7,9,7
b-26,2019,1,5,7,10,605
c-95,2019,1,5,7,10,91
b-109,2019,1,5,7,10,41
c-68,2019,1,5,7,10,22
b-26,2019,1,5,7,11,579
c-95,2019,1,5,7,11,116
b-109,2019,1,5,7,11,56
c-68,2019,1,5,7,11,11
b-26,2019,1,5,7,12,443
c-95,2019,1,5,7,12,185
b-109,2019,1,5,7,12,64
c-68,2019,1,5,7,12,11
b-26,2019,1,5,7,13,351
c-95,2019,1,5,7,13,80
b-109,2019,1,5,7,13,38
c-68,2019,1,5,7,13,8
b-26,2019,1,5,7,14,358
c-95,2019,1,5,7,14,109
b-109,2019,1,5,7,14,11
c-68,2019,1,5,7,14,12
b-26,2019,1,5,7,15,500
c-95,2019,1,5,7,15,97
b-109,2019,1,5,7,15,43
c-68,2019,1,5,7,15,11
b-26,2019,1,5,7,16,354
c-95,2019,1,5,7,16,139
b-109,2019,1,5,7,16,39
c-68,2019,1,5,7,16,10
b-26,2019,1,5,7,17,572
c-95,2019,1,5,7,17,119
b-109,2019,1,5,7,17,58
c-68,2019,1,5,7,17,15
b-26,2019,1,5,7,18,516
c-95,2019,1,5,7,18,104
b-109,2019,1,5,7,18,70
c-68,2019,1,5,7,18,4
b-26,2019,1,5,7,19,397
c-95,2019,1,5,7,19,162
b-109,2019,1,5,7,19,41
c-68,2019,1,5,7,19,15
b-26,2019,1,5,7,20,151
c-95,2019,1,5,7,20,72
b-109,2019,1,5,7,20,33
c-68,2019,1,5,7,20,13
b-26,2019,1,5,7,21,323
c-95,2019,1,5,7,21,79
b-109,2019,1,5,7,21,44
c-68,2019,1,5,7,21,12
b-26,2019,1,5,7,22,287
c-95,2019,1,5,7,22,83
b-109,2019,1,5,7,22,23
c-68,2019,1,5,7,22,4
b-26,2019,1,5,7,23,101
c-95,2019,1,5,7,23,47
b-109,2019,1,5,7,23,7
c-68,2019,1,5,7,23,3
b-26,2019,1,6,1,0,121
c-95,2019,1,6,1,0,57
b-109,2019,1,6,1,0,32
c-68,2019,1,6,1,0,13
b-26,2019,1,6,1,1,98
c-95,2019,1,6,1,1,44
b-109,2019,1,6,1,1,14
c-68,2019,1,6,1,1,4
b-26,2019,1,6,1,2,66
c-95,2019,1,6,1,2,63
b-109,2019,1,6,1,2,5
c-68,2019,1,6,1,2,7
b-26,2019,1,6,1,3,40
c-95,2019,1,6,1,3,46
b-109,2019,1,6,1,3,16
c-68,2019,1,6,1,3,9
b-26,2019,1,6,1,4,46
c-95,2019,1,6,1,4,19
b-109,2019,1,6,1,4,8
c-68,2019,1,6,1,4,7
b-26,2019,1,6,1,5,41
c-95,2019,1,6,1,5,42
b-109,2019,1,6,1,5,13
c-68,2019,1,6,1,5,11
b-26,2019,1,6,1,6,140
c-95,2019,1,6,1,6,80
b-109,2019,1,6,1,6,15
c-68,2019,1,6,1,6,15
b-26,2019,1,6,1,7,331
c-95,2019,1,6,1,7,141
b-109,2019,1,6,1,7,13
c-68,2019,1,6,1,7,15
b-26,2019,1,6,1,8,532
c-95,2019,1,6,1,8,322
b-109,2019,1,6,1,8,52
c-68,2019,1,6,1,8,23
b-26,2019,1,6,1,9,591
c-95,2019,1,6,1,9,141
b-109,2019,1,6,1,9,81
c-68,2019,1,6,1,9,21
b-26,2019,1,6,1,10,994
c-95,2019,1,6,1,10,462
b-109,2019,1,6,1,10,89
c-68,2019,1,6,1,10,55
b-26,2019,1,6,1,11,1419
c-95,2019,1,6,1,11,673
b-109,2019,1,6,1,11,189
c-68,2019,1,6,1,11,34
b-26,2019,1,6,1,12,2264
c-95,2019,1,6,1,12,612
b-109,2019,1,6,1,12,126
c-68,2019,1,6,1,12,43
b-26,2019,1,6,1,13,1485
c-95,2019,1,6,1,13,336
b-109,2019,1,6,1,13,163
c-68,2019,1,6,1,13,33
b-26,2019,1,6,1,14,816
c-95,2019,1,6,1,14,333
b-109,2019,1,6,1,14,37
c-68,2019,1,6,1,14,49
b-26,2019,1,6,1,15,1698
c-95,2019,1,6,1,15,370
b-109,2019,1,6,1,15,122
c-68,2019,1,6,1,15,40
b-26,2019,1,6,1,16,1699
c-95,2019,1,6,1,16,299
b-109,2019,1,6,1,16,131
c-68,2019,1,6,1,16,65
b-26,2019,1,6,1,17,1560
c-95,2019,1,6,1,17,318
b-109,2019,1,6,1,17,123
c-68,2019,1,6,1,17,24
b-26,2019,1,6,1,18,1579
c-95,2019,1,6,1,18,399
b-109,2019,1,6,1,18,180
c-68,2019,1,6,1,18,9
b-26,2019,1,6,1,19,1341
c-95,2019,1,6,1,19,221
b-109,2019,1,6,1,19,172
c-68,2019,1,6,1,19,58
b-26,2019,1,6,1,20,833
c-95,2019,1,6,1,20,209
b-109,2019,1,6,1,20,176
c-68,2019,1,6,1,20,32
b-26,2019,1,6,1,21,877
c-95,2019,1,6,1,21,209
b-109,2019,1,6,1,21,120
c-68,2019,1,6,1,21,20
b-26,2019,1,6,1,22,853
c-95,2019,1,6,1,22,248
b-109,2019,1,6,1,22,39
c-68,2019,1,6,1,22,13
b-26,2019,1,6,1,23,265
c-95,2019,1,6,1,23,167
b-109,2019,1,6,1,23,33
c-68,2019,1,6,1,23,15
b-26,2019,1,7,2,0,165
c-95,2019,1,7,2,0,93
b-109,2019,1,7,2,0,38
c-68,2019,1,7,2,0,28
b-26,2019,1,7,2,1,168
c-95,2019,1,7,2,1,75
b-109,2019,1,7,2,1,3
c-68,2019,1,7,2,1,19
b-26,2019,1,7,2,2,96
c-95,2019,1,7,2,2,76
b-109,2019,1,7,2,2,8
c-68,2019,1,7,2,2,17
b-26,2019,1,7,2,3,51
c-95,2019,1,7,2,3,39
b-109,2019,1,7,2,3,12
c-68,2019,1,7,2,3,14
b-26,2019,1,7,2,4,77
c-95,2019,1,7,2,4,23
b-109,2019,1,7,2,4,19
c-68,2019,1,7,2,4,21
b-26,2019,1,7,2,5,71
c-95,2019,1,7,2,5,49
b-109,2019,1,7,2,5,11
c-68,2019,1,7,2,5,9
b-26,2019,1,7,2,6,159
c-95,2019,1,7,2,6,57
b-109,2019,1,7,2,6,25
c-68,2019,1,7,2,6,14
b-26,2019,1,7,2,7,333
c-95,2019,1,7,2,7,155
b-109,2019,1,7,2,7,29
c-68,2019,1,7,2,7,23
b-26,2019,1,7,2,8,559
c-95,2019,1,7,2,8,327
b-109,2019,1,7,2,8,73
c-68,2019,1,7,2,8,32
b-26,2019,1,7,2,9,981
c-95,2019,1,7,2,9,331
b-109,2019,1,7,2,9,107
c-68,2019,1,7,2,9,22
b-26,2019,1,7,2,10,2265
c-95,2019,1,7,2,10,697
b-109,2019,1,7,2,10,147
c-68,2019,1,7,2,10,76
b-26,2019,1,7,2,11,2271
c-95,2019,1,7,2,11,443
b-109,2019,1,7,2,11,271
c-68,2019,1,7,2,11,80
b-26,2019,1,7,2,12,1719
c-95,2019,1,7,2,12,689
b-109,2019,1,7,2,12,203
c-68,2019,1,7,2,12,83
b-26,2019,1,7,2,13,1347
c-95,2019,1,7,2,13,587
b-109,2019,1,7,2,13,162
c-68,2019,1,7,2,13,62
b-26,2019,1,7,2,14,1908
c-95,2019,1,7,2,14,373
b-109,2019,1,7,2,14,76
c-68,2019,1,7,2,14,60
b-26,2019,1,7,2,15,1241
c-95,2019,1,7,2,15,212
b-109,2019,1,7,2,15,191
c-68,2019,1,7,2,15,61
b-26,2019,1,7,2,16,2133
c-95,2019,1,7,2,16,274
b-109,2019,1,7,2,16,136
c-68,2019,1,7,2,16,62
b-26,2019,1,7,2,17,2133
c-95,2019,1,7,2,17,465
b-109,2019,1,7,2,17,196
c-68,2019,1,7,2,17,25
b-26,2019,1,7,2,18,1816
c-95,2019,1,7,2,18,560
b-109,2019,1,7,2,18,172
c-68,2019,1,7,2,18,16
b-26,2019,1,7,2,19,1217
c-95,2019,1,7,2,19,420
b-109,2019,1,7,2,19,266
c-68,2019,1,7,2,19,58
b-26,2019,1,7,2,20,593
c-95,2019,1,7,2,20,106
b-109,2019,1,7,2,20,131
c-68,2019,1,7,2,20,69
b-26,2019,1,7,2,21,1305
c-95,2019,1,7,2,21,419
b-109,2019,1,7,2,21,167
c-68,2019,1,7,2,21,49
b-26,2019,1,7,2,22,1234
c-95,2019,1,7,2,22,254
b-109,2019,1,7,2,22,124
c-68,2019,1,7,2,22,27
b-26,2019,1,7,2,23,432
c-95,2019,1,7,2,23,101
b-109,2019,1,7,2,23,44
c-68,2019,1,7,2,23,37
b-26,2019,1,8,3,0,289
c-95,2019,1,8,3,0,183
b-109,2019,1,8,3,0,54
c-68,2019,1,8,3,0,27
b-26,2019,1,8,3,1,218
c-95,2019,1,8,3,1,77
b-109,2019,1,8,3,1,23
c-68,2019,1,8,3,1,17
b-26,2019,1,8,3,2,88
c-95,2019,1,8,3,2,85
b-109,2019,1,8,3,2,21
c-68,2019,1,8,3,2,21
b-26,2019,1,8,3,3,92
c-95,2019,1,8,3,3,61
b-109,2019,1,8,3,3,18
c-68,2019,1,8,3,3,27
b-26,2019,1,8,3,4,69
c-95,2019,1,8,3,4,44
b-109,2019,1,8,3,4,16
c-68,2019,1,8,3,4,31
b-26,2019,1,8,3,5,82
c-95,2019,1,8,3,5,69
b-109,2019,1,8,3,5,31
c-68,2019,1,8,3,5,14
b-26,2019,1,8,3,6,159
c-95,2019,1,8,3,6,109
b-109,2019,1,8,3,6,55
c-68,2019,1,8,3,6,16
b-26,2019,1,8,3,7,582
c-95,2019,1,8,3,7,253
b-109,2019,1,8,3,7,43
c-68,2019,1,8,3,7,33
b-26,2019,1,8,3,8,949
c-95,2019,1,8,3,8,449
b-109,2019,1,8,3,8,56
c-68,2019,1,8,3,8,48
b-26,2019,1,8,3,9,1069
c-95,2019,1,8,3,9,404
b-109,2019,1,8,3,9,60
c-68,2019,1,8,3,9,51
b-26,2019,1,8,3,10,2314
c-95,2019,1,8,3,10,467
b-109,2019,1,8,3,10,178
c-68,2019,1,8,3,10,117
b-26,2019,1,8,3,11,2537
c-95,2019,1,8,3,11,343
b-109,2019,1,8,3,11,207
c-68,2019,1,8,3,11,35
b-26,2019,1,8,3,12,3321
c-95,2019,1,8,3,12,407
b-109,2019,1,8,3,12,192
c-68,2019,1,8,3,12,106
b-26,2019,1,8,3,13,2405
c-95,2019,1,8,3,13,453
b-109,2019,1,8,3,13,230
c-68,2019,1,8,3,13,79
b-26,2019,1,8,3,14,2034
c-95,2019,1,8,3,14,364
b-109,2019,1,8,3,14,78
c-68,2019,1,8,3,14,46
b-26,2019,1,8,3,15,1657
c-95,2019,1,8,3,15,414
b-109,2019,1,8,3,15,133
c-68,2019,1,8,3,15,39
b-26,2019,1,8,3,16,2503
c-95,2019,1,8,3,16,436
b-109,2019,1,8,3,16,116
c-68,2019,1,8,3,16,95
b-26,2019,1,8,3,17,1814
c-95,2019,1,8,3,17,452
b-109,2019,1,8,3,17,252
c-68,2019,1,8,3,17,85
b-26,2019,1,8,3,18,2034
c-95,2019,1,8,3,18,743
b-109,2019,1,8,3,18,196
c-68,2019,1,8,3,18,20
b-26,2019,1,8,3,19,1160
c-95,2019,1,8,3,19,450
b-109,2019,1,8,3,19,196
c-68,2019,1,8,3,19,96
b-26,2019,1,8,3,20,1513
c-95,2019,1,8,3,20,343
b-109,2019,1,8,3,20,246
c-68,2019,1,8,3,20,51
b-26,2019,1,8,3,21,1156
c-95,2019,1,8,3,21,254
b-109,2019,1,8,3,21,99
c-68,2019,1,8,3,21,36
b-26,2019,1,8,3,22,1613
c-95,2019,1,8,3,22,501
b-109,2019,1,8,3,22,153
c-68,2019,1,8,3,22,40
b-26,2019,1,8,3,23,563
c-95,2019,1,8,3,23,115
b-109,2019,1,8,3,23,71
c-68,2019,1,8,3,23,25
b-26,2019,1,9,4,0,307
c-95,2019,1,9,4,0,156
b-109,2019,1,9,4,0,61
c-68,2019,1,9,4,0,28
b-26,2019,1,9,4,1,183
c-95,2019,1,9,4,1,105
b-109,2019,1,9,4,1,22
c-68,2019,1,9,4,1,29
b-26,2019,1,9,4,2,83
c-95,2019,1,9,4,2,70
b-109,2019,1,9,4,2,23
c-68,2019,1,9,4,2,22
b-26,2019,1,9,4,3,61
c-95,2019,1,9,4,3,56
b-109,2019,1,9,4,3,33
c-68,2019,1,9,4,3,22
b-26,2019,1,9,4,4,81
c-95,2019,1,9,4,4,59
b-109,2019,1,9,4,4,17
c-68,2019,1,9,4,4,43
b-26,2019,1,9,4,5,73
c-95,2019,1,9,4,5,89
b-109,2019,1,9,4,5,28
c-68,2019,1,9,4,5,14
b-26,2019,1,9,4,6,159
c-95,2019,1,9,4,6,84
b-109,2019,1,9,4,6,41
c-68,2019,1,9,4,6,21
b-26,2019,1,9,4,7,362
c-95,2019,1,9,4,7,190
b-109,2019,1,9,4,7,49
c-68,2019,1,9,4,7,35
b-26,2019,1,9,4,8,867
c-95,2019,1,9,4,8,397
b-109,2019,1,9,4,8,96
c-68,2019,1,9,4,8,47
b-26,2019,1,9,4,9,1584
c-95,2019,1,9,4,9,394
b-109,2019,1,9,4,9,135
c-68,2019,1,9,4,9,48
b-26,2019,1,9,4,10,3709
c-95,2019,1,9,4,10,645
b-109,2019,1,9,4,10,256
c-68,2019,1,9,4,10,149
b-26,2019,1,9,4,11,3200
c-95,2019,1,9,4,11,799
b-109,2019,1,9,4,11,296
